类目名称,名称,链接,简介
图片素材,Pixabay,https://pixabay.com/,免费高清图片素材库，支持 CC0 协议，可商用，涵盖多种分类
图片素材,Unsplash,https://unsplash.com/,高质量摄影图片库，全球摄影师分享作品，适合创意类内容配图
图片素材,Pexels,https://www.pexels.com/,免费图片和视频素材库，界面简洁，支持关键词快速搜索
图片素材,Visual Hunt,https://visualhunt.com/,专注视觉素材的资源站，提供图片、矢量图、插画等多类型内容
图片素材,Foodiesfeed,https://www.foodiesfeed.com/,美食主题图片库，适合餐饮、生活类小红书内容配图
图片素材,StockSnap,https://stocksnap.io/,免费无版权图片库，支持 CC0 协议，更新频率高，素材风格多样
图片素材,LibreStock,https://librestock.com/,聚合型素材平台，整合多个免费图库资源，一站式搜索下载
图片素材,PAKUTASO,https://www.pakutaso.com/,日本免费素材站，提供日系风格图片、插画和设计模板，适合个性化内容创作
数据分析,灰豚数据,https://wxaurl.cn/coH1vCUDO3r,小红书数据分析工具，提供达人、笔记、品牌投放等多维度数据监测和榜单
数据分析,新红,https://xh.newrank.cn/,新榜旗下小红书数据平台，支持红人搜索、笔记分析、直播监测和竞品投放策略洞察
数据分析,5118,https://www.5118.com/ci/xhs,关键词挖掘工具，支持小红书下拉词、长尾词分析，辅助 SEO 和内容选题
数据分析,千瓜,https://app.qian-gua.com/#/workbench/red,专业社媒数据分析平台，提供小红书账号诊断、爆款笔记追踪和行业趋势报告
数据分析,蝉小红,https://xhs.chanmama.com/,蝉妈妈旗下小红书数据工具，支持直播分析、商品热度监测和达人商业价值评估
Emoji 表情,emoji 百宝箱,https://emoji6.com/,海量 Emoji 表情库，支持分类浏览和快速复制，适合丰富小红书文案表现力
Emoji 表情,getemoji,https://getemoji.com/,跨平台 Emoji 工具，支持 iOS、Android、PC 等多端使用，覆盖全品类表情符号
小红书开店,店透视,https://www.diantoushi.com/,电商数据透视工具，支持多平台商品数据查询、评论分析和竞品监控
小红书开店,招财猫,https://jingyan.baidu.com/article/1974b289ddb303b4b0f77472.html,百度经验开店指南，提供小红书开店流程和运营技巧分享
小红书开店,小红书商家入驻,https://gaia.xiaohongshu.com/home/index,小红书官方开店入口，支持个人 / 个体工商户 / 企业入驻，0 元开店，部分类目需保证金
小红书开店,小红书课堂,https://school.xiaohongshu.com/course/list?jumpFrom=school,官方培训平台，提供大促备战、流量转化、直播运营等课程，含直播回放和资料下载
私域引流,草料,https://cli.im/,二维码生成工具，支持微信群二维码转链接，可美化设计和动态更新内容
私域引流,Photofunia,https://photofunia.com/,图片处理工具，支持在图片中添加微信号等私域信息，降低平台违规风险
